Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
9221;München-Giesing (S);9;BY;A;995;;AS München-Giesing (B13);N;AS Unterhaching-Nord;S;692910,976;5329622,172
9222;Gräfelfing (W);9;BY;A;96;;AS Gräfelfing;O;AD Dreieck München-Südwest;W;681395,378;5333336,811
9223;AD München-Eschenried;9;BY;A;8;;AS München-Langwied;O;AD Dreieck München-Eschenried (A99);W;678705,500;5341263,000
9224;AK München Süd;9;BY;A;8;;AS Hofoldinger Forst;O;AK Kreuz München-Süd (A99/A995);W;700055,500;5318532,000
9225;AS Holzkirchen;9;BY;A;8;;AS Weyarn;O;AS Holzkichen (B318);W;708703,000;5305304,500
9226;AS Weyarn;9;BY;A;8;;AS Irschenberg (B472);O;AS Weyarn;W;715756,000;5301758,500
9227;AS Irschenberg;9;BY;A;8;;AS Bad Aibling;O;AS Irschenberg (B472);W;717837,000;5301528,500
9228;Hohenbrunn;9;BY;A;99;;AS Hohenbrunn (B471);N;AS Ottobrunn;S;701015,500;5326204,500
9229;Ottobrunn;9;BY;A;99;;AS Ottobrunn;N;AK München-Süd (A8/A995);S;699449,622;5323780,496
9230;AD Hittistetten (S);9;BY;A;7;;AS Dreieck Hittistetten;N;AS Vöhringen;S;580968,776;5351996,212
9231;AK Memmingen (S);9;BY;A;7;;AK Kreuz Memmingen (A96);N;AS Memmingen-Süd;S;585840,000;5316024,000
9232;AD Werntal (N);9;BY;A;71;;AS Schweinfurt-West;N;AD Dreieck Werntal (A70);S;582941,500;5541697,500
9233;AD Werntal (W);9;BY;A;70;;AD Dreieck Werntal (A71);O;AS Werneck;W;582948,500;5540730,500
