Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
5269;Lechenich 2;5;NW;B;265;; AS Erftstadt;N; Erp;S;343940,627;5630001,679
5270;Kürten-Weiden;5;NW;B;506;; Abzweig L161, Wipperfeld;O; Weiden;W;378020,522;5659145,964
5271;Radevormwald-Rochollsberg;5;NW;B;483;; Abzw. L130;N; Abzw. Rochollsberg;S;385836,000;5677260,000
5272;Gedern;5;NW;B;226;; Wetter;O; Witten (L525);W;385473,676;5696718,817
5273;Mönchengladb.-Rheindahlen;5;NW;B;57;;AS Mönchengladbach-Holt (A61);N; Abzweig L370;S;314716,833;5670352,680
5274;Swisttal-Buschhoven;5;NW;B;56;; L113, Hardtberg;O; Buschhoven;W;360069,251;5618613,400
5275;Krefeld-Hüls;5;NW;B;9;; Abzweig L478;N; Krefeld-Hüls (B509);S;325903,347;5697085,542
5276;Arsbeck;5;NW;B;221;; Arsbeck;N; L19, Wassenberg;S;303603,766;5668396,634
5277;Imgenbroich;5;NW;B;258;; Grünentalstraße (K21);O; L246, Konzen;W;306245,451;5605979,090
5278;Winterscheid;5;NW;B;507;; Ingersau (B478);O; Kaule;W;383806,361;5631708,495
5301;Bad Berleburg;5;NW;B;480;; B236;N; Bad Berleburg;S;458493,006;5657654,675
5302;Drensteinfurt;5;NW;B;63;; Drensteinfurt;N; Walstedde;S;414427,376;5738570,421
5304;Meinerzhagen;5;NW;B;54;; Meinerzhagen;N; L869;S;406703,000;5662157,500
5309;Plettenberg-Ohle;5;NW;B;236;; Werdohl;N; Ohle;S;417616,914;5677815,106
5310;Gleidorf (O);5;NW;B;236;; B511, OD Gleidorf;N; Oberkirchen;S;452027,157;5668263,980
5311;Gleidorf (N);5;NW;B;511;; Fredeburg;N; Gleidorf;S;452042,886;5668432,673
5313;Gronau-Amtsvenn;5;NW;B;54;; Bundesgrenze (NL);N; AS Gronau-West (B70/L572);S;361147,000;5784325,000
5315;Bad Salzuflen;5;NW;B;239;; Herford;N; Lage;S;480261,371;5770548,858
5316;Dorsten (O);5;NW;B;58;; B224;O; Schermbeck;W;356867,136;5729883,689
5318;Dortmund-Brechten;5;NW;B;54;; Lünen;N; B236n;S;395012,860;5717284,221
5321;Lüdenscheid-Brügge;5;NW;B;229;; Lüdenscheid;O; B54;W;401286,592;5673515,650
5322;Brilon (N);5;NW;B;480;; Wünnenberg;N; B516;S;470220,000;5698895,500
5323;Brilon (W);5;NW;B;516;; Brilon;O; Rüthen;W;470027,011;5698860,414
5325;Winterberg;5;NW;B;480;; Olsberg;N; Winterberg;S;467878,160;5674083,968
5329;Ostbevern;5;NW;B;51;; Ostbevern;N; Telgte;S;418032,400;5761132,779
5330;Telgte;5;NW;B;51;; Telgte;N; Münster;S;413069,711;5759677,009
5331;Warburg West;5;NW;B;7;; Warburg;O; Ossendorf;W;508607,995;5704882,019
5334;Delecke 2;5;NW;B;229;; Abzweig B516, Wippringsen;O; Abzweig K8, Möhnesee;W;436850,586;5704635,852
5335;Babbenhausen;5;NW;B;514;; Vlotho;O; AK Bad Oeynhausen;W;490022,322;5782089,431
5336;Petershagen 2;5;NW;B;61;; Uchte;N; Petershagen;S;497021,009;5804120,881
5337;BI-Hillegossen;5;NW;B;66;; Örlinghausen;O; Bethel;W;473273,794;5760788,326
5338;Altenberge 2;5;NW;B;54;; Steinfurt;N; Nienberge;S;396731,213;5764374,083
5339;Horn 2;5;NW;B;1;; Bamtrup;O; Bad - Lippspringe;W;495087,966;5745428,936
5340;Brakel;5;NW;B;252;; Brakel;N; Peckelsheim;S;511762,303;5727582,727
5342;Grevenbrück;5;NW;B;55;; Grevenbrück;O; Bilstein;W;431485,066;5663828,930
5344;Bottrop;5;NW;B;224;; AS Essen/Gladbeck (A2);N; AS Essen-Nord (A42);S;360210,468;5711703,147
5345;Datteln;5;NW;B;235;; Olfen;N; Datteln;S;387135,000;5728662,500
5346;Ense-Möhnesee;5;NW;B;516;; B229, Möhnesee;O; Bremen;W;433970,422;5706383,337
5347;Kalletal;5;NW;B;514;; Abzweig B238, Langenholzhausen;O; Kalldorf, L781;W;495828,898;5778639,106
5348;Drensteinfurt (N);5;NW;B;54;; Hiltrup;N; Rinkerode;S;408655,805;5744308,107
5350;Greven (N);5;NW;B;219;; Saerbeck;N; Greven;S;405486,449;5776248,948
5351;Lichtenau;5;NW;B;68;; Dörenhagen;N; Lichtenau;S;491382,339;5720600,324
5352;Dortmund-Berghofen;5;NW;B;236;; Dortmund-Berghofen (L556);N; AS Schwerte (A1);S;399063,607;5703550,515
5353;Coesfeld-Ost;5;NW;B;525;; Harle;O; Coesfeld;W;375778,500;5754768,500
5354;Netphen-Afholderbach;5;NW;B;62;; Afholderbach;O; Eschenbach;W;438537,512;5642717,869
5355;Delbrück-West;5;NW;B;64;; Delbrück (L586);O; Rietberg (L782);W;467364,830;5736128,068
5356;Espelkamp-Gestringen;5;NW;B;239;; Espelkamp;N; Lübbecke;S;473272,000;5800846,500
5357;Detmold-Heidenoldendorf;5;NW;B;239;; Sülterheide;N; Abzweig L945;S;488164,847;5757868,682
5358;Höxter-Fürstenau;5;NW;B;239;; Fürstenau;N; Brenkhausen;S;522886,398;5740174,545
5359;Lippetal-Lippborg;5;NW;B;475;; Lippborg;N; Heintrop;S;433121,000;5723533,500
5360;Lüdinghausen-West;5;NW;B;58;; Lüdinghausen;O; Seppenrade;W;390291,500;5736050,000
5361;Hamm-Heessen;5;NW;B;63;; Abzw. L663;N; Kötterberg;S;416644,000;5730381,000
5362;Vreden-Süd;5;NW;B;70;; Vreden;N; Abzw. Wenningfeld/Stadtlohn;S;350576,000;5764625,500
5363;Sassenberg-Süd;5;NW;B;475;; Sassenberg (B513);N; Warendorf;S;432657,500;5757597,000
5364;Wanne-Eickel Ost;5;NW;B;226;; Abzweig Ackerstraße;O; L639, AS Herne-Crange (A42);W;373992,346;5711058,512
5365;Dortmund-Wambeldorf;5;NW;B;236;; AS Hannöversche Straße;N; AS Westfalendamm (B1);S;397132,000;5709019,500
5366;Winterberg-Waltenberg;5;NW;B;236;; Im Hohlen Seifen;N; Tunnel Waltenberg;S;467133,541;5671562,522
5367;Schmallenberg;5;NW;B;236;; Fleckenberg;N; Schmallenberg (L737);S;449676,393;5666990,732
5368;Barkhausen;5;NW;B;61;; Barkhausen (B65);N; Porta-Westfalica (L780);S;494237,363;5790054,305
5369;Winterberg-Herrloh;5;NW;B;236;; Tunnel Herrloh;N; Winterberg (B480);S;466466,368;5671482,677
5370;Ascheberg-Herbern;5;NW;B;54;; Kreuzung (B58);N; Herbern (L844);S;408642,115;5736568,563
5371;Werne-Langern;5;NW;B;54;; Werne (B233);N; Lünen (B236);S;401018,480;5721641,071
5372;Kierspe-Volme;5;NW;B;54;; Oberbrügge (L892);N; Kierspe (B237);S;400337,784;5671292,351
